house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
14575,2,APARTMENT,APARTMENT,Membre,5550,Rue de la Routaine,80,5,1,2.0,75000.0,0,1,20.0,0,0,GOOD,0,0,0,,39.0,,
18390,2,APARTMENT,APARTMENT,Leuven,3010,Wilselsesteenweg,19,,0,4.0,497000.0,0,1,15.0,0,0,,1,3000,0,,,,
8199,2,APARTMENT,APARTMENT,ANTWERPEN,2018,Quinten Matsijslei,14,302,1,2.0,399000.0,0,1,6.0,0,0,TO_BE_DONE_UP,0,0,0,,128.0,,
3049,3,HOUSE,HOUSE,BRECHT,2960,Oude Veldstraat,135,,1,3.0,249000.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,529.0,122.0,529.0,UnderOption
1282,2,HOUSE,HOUSE,Sinaai-Waas,9112,Keizerstraat,46,,1,4.0,350000.0,0,0,0.0,1,1,TO_RENOVATE,0,0,0,650.0,169.0,650.0,
3206,3,HOUSE,HOUSE,Sint-Andries,8200,Lange Vesting,96,,1,,269000.0,0,0,0.0,0,0,GOOD,0,0,0,68.0,123.0,68.0,
5844,2,HOUSE,HOUSE,Tienen,3300,Peperstraat,8,,0,2.0,249000.0,0,1,10.0,0,0,GOOD,0,0,0,110.0,210.0,110.0,
14896,2,HOUSE,HOUSE,Westende,8434,Heidestraat,195,25,1,,174500.0,0,1,,0,0,,0,0,0,45.0,45.0,45.0,
1026,2,HOUSE,HOUSE,Merelbeke,9820,Oude Gaversesteenweg,15,,1,2.0,269000.0,0,1,70.0,0,0,JUST_RENOVATED,0,0,0,174.0,110.0,174.0,
19694,2,APARTMENT,GROUND_FLOOR,Koksijde,8670,Coosemanslaan,11 001,,0,2.0,148000.0,0,1,,0,0,,0,0,0,,70.0,,PublicSale
4967,4,HOUSE,VILLA,Koksijde,8670,Dorlodotlaan,36,,0,,939000.0,1,1,,0,0,TO_RENOVATE,0,0,0,1425.0,,1425.0,
2146,4,HOUSE,BUNGALOW,Ternat,1740,De Klei,31,,1,4.0,398000.0,0,1,,0,0,TO_RENOVATE,1,1800,0,1992.0,100.0,1992.0,
16350,3,HOUSE,VILLA,Balen,2490,Jachtlaan,38,,0,4.0,389000.0,0,0,0.0,0,0,GOOD,0,0,0,2059.0,200.0,2059.0,
8140,4,HOUSE,EXCEPTIONAL_PROPERTY,BONHEIDEN,2820,De Bergen,25,,1,4.0,2286000.0,0,1,150.0,1,1,AS_NEW,1,28000,1,29239.0,660.0,29239.0,
16696,3,APARTMENT,DUPLEX,Oostende,8400,Torhoutsesteenweg,396,,0,,269000.0,0,1,20.0,0,0,AS_NEW,0,0,0,,110.0,,
8096,2,APARTMENT,APARTMENT,Wilrijk,2610,Pastoor Bauwenslaan,25,,0,,170000.0,0,0,0.0,0,0,,0,0,0,,,,PublicSale
5450,2,APARTMENT,APARTMENT,Sint-Truiden,3800,Casinostraat,1,101,0,,199000.0,0,0,0.0,0,0,GOOD,0,0,0,,,,
14241,3,HOUSE,HOUSE,Torhout,8820,Blanca Van Namenstraat,5,,1,,399000.0,0,1,,0,0,AS_NEW,0,0,0,405.0,170.0,405.0,
14699,4,HOUSE,HOUSE,Duffel,2570,Mijlstraat,83,,0,3.0,630000.0,0,1,1.0,1,1,AS_NEW,1,300,1,450.0,205.0,450.0,
17658,3,APARTMENT,PENTHOUSE,Ixelles,1050,,,,1,2.0,2350000.0,0,1,71.0,0,0,GOOD,0,0,0,,386.0,,
3212,7,HOUSE,HOUSE,Overijse,3090,Sint-Hubertusdreef,7,,1,4.0,1795000.0,0,1,,0,0,TO_BE_DONE_UP,1,5500,0,5500.0,484.0,5500.0,UnderOption
15841,4,HOUSE,HOUSE,Landen,3400,Stationsstraat,50,,0,2.0,549000.0,0,1,8.0,0,0,AS_NEW,1,8,0,136.0,245.0,136.0,
15183,3,HOUSE,TOWN_HOUSE,Stabroek,2940,Grimaldilaan,156,,1,2.0,379000.0,0,1,20.0,0,0,AS_NEW,1,120,0,210.0,160.0,210.0,UnderOption
9963,2,HOUSE,HOUSE,WILLEBROEK,2830,Appeldonkstraat,213,,1,2.0,265000.0,0,0,0.0,0,0,GOOD,0,0,0,0.0,159.0,0.0,UnderOption
13010,2,APARTMENT,APARTMENT,Tielt (8700),8700,Kroonstraat,1-1001,,1,,279000.0,0,0,0.0,0,0,GOOD,0,0,0,,70.0,,
7650,3,HOUSE,HOUSE,Kaprijke,9970,Zuidstraat,40,,0,4.0,329000.0,0,0,0.0,0,0,,0,0,0,1690.0,141.0,1690.0,
15874,3,HOUSE,HOUSE,Retranchement,8300,Zwinstraat,30,,1,4.0,1450000.0,0,1,,0,0,AS_NEW,1,2495,0,2495.0,238.0,2495.0,
16709,2,APARTMENT,APARTMENT,Deurne,2100,Turnhoutsebaan,72,,1,2.0,325000.0,0,1,40.0,0,0,AS_NEW,1,250,0,,125.0,,
18252,2,APARTMENT,APARTMENT,Gent,9000,Einde Were,244,202,1,2.0,335000.0,0,1,6.0,0,0,GOOD,0,0,0,,76.0,,
19765,5,HOUSE,HOUSE,Bierges,1301,Clos des Eclaireurs,4,,1,3.0,499000.0,0,0,0.0,0,0,AS_NEW,0,0,0,0.0,,0.0,NotarySale
9657,3,HOUSE,HOUSE,Edegem,2650,Pieter Van Den Bemdenlaan,80,,1,2.0,488000.0,0,1,52.0,0,0,AS_NEW,1,175,0,300.0,164.0,300.0,
1456,6,HOUSE,MIXED_USE_BUILDING,Maarkedal,9680,Rijksweg,113,,0,3.0,669000.0,0,1,,0,0,GOOD,0,0,1,476.0,333.0,476.0,
12177,2,APARTMENT,APARTMENT,Lier,2500,Paul Krugerstraat,77,,0,2.0,230000.0,0,0,0.0,0,0,AS_NEW,0,0,0,,80.0,,
10936,2,APARTMENT,DUPLEX,Oostende,8400,Dokter Eduard Moreauxlaan,199,0401,1,2.0,298000.0,0,1,38.0,0,0,AS_NEW,0,0,0,,92.0,,
3886,3,HOUSE,HOUSE,Bavikhove,8531,,,,0,3.0,169500.0,0,1,8.0,0,0,TO_RENOVATE,1,115,0,258.0,105.0,258.0,
11936,2,APARTMENT,APARTMENT,Knokke-Zoute,8300,Leopoldlaan,156,51,1,2.0,995000.0,0,1,,0,0,GOOD,0,0,0,,67.0,,
2601,4,HOUSE,HOUSE,Gent,9040,Visitatiestraat,41,,1,2.0,515000.0,0,1,15.0,0,0,AS_NEW,1,75,0,175.0,180.0,175.0,
7885,6,HOUSE,HOUSE,Eppegem,1980,Rekelstraat,9-11-13,,0,2.0,275000.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,0.0,,0.0,PublicSale
17053,1,APARTMENT,FLAT_STUDIO,Merchtem,1785,Stoofstraat,40,3.4,1,2.0,145000.0,0,0,0.0,0,0,GOOD,0,0,0,,40.0,,
10478,1,APARTMENT,APARTMENT,Genval,1332,Avenue Franklin Roosevelt,124,2.34,1,,295000.0,0,1,5.0,0,0,AS_NEW,1,2000,0,,62.0,,
1054,2,APARTMENT,APARTMENT,FLÉMALLE-GRANDE,4400,Rue Flémalle Grande,24,,1,2.0,230000.0,0,1,16.0,0,0,TO_RESTORE,0,0,0,,220.0,,
18060,4,HOUSE,HOUSE,UCCLE,1180,,,,0,4.0,1895000.0,0,1,40.0,1,1,AS_NEW,0,0,0,750.0,486.0,750.0,
9772,3,HOUSE,HOUSE,Ninove,9400,Wilderstraat,75,,1,,399000.0,0,1,,0,0,TO_BE_DONE_UP,0,0,0,2719.0,153.0,2719.0,UnderOption
